Lauren Bacall
Warren Hammack
Emily Hampshire
Thomas Hampson
Keiko Han
Han Suk-kyu
A.K. Hangal
Cochin Hanifa
Jim Hanks
Michael Hanrahan
Gunnar Hansen
Robert Hansen
Gundu Hanumantha Rao
Sophiya Haque
Atsushi Harada
Ryûji Harada
Yoshio Harada
Mohamed Haragua
Matthew Harbour
Miranda Harcourt
April Hardcastle
Diana Hardcastle
Aleksey Khardikov
Ernest Hardin Jr.
Mickey Hardt
Robert Hardy
Tom Hardy
Ray Hare
Corinna Harfouch
'Hurricane Ryu' Hariken
Kiyoyuki Yanada
Fabian Harlang
Jean Harlez
Marek Harloff
Lacie Harmon
Blake Harper
Frank Harper
Tom Harper
Danielle Harris
Derek Harris
Gail Thackray
Hank Harris
R. Keith Harris
Naomie Harris
Sando Harris
Sean Harris
Bret Harrison
Lucy Harrison
Jean-François Harrisson
Jamie Harrold
Harris Hart
Jimmy Hart
Kevin Hart
Veronica Hart
Christine Harte
Mattijn Hartemink
Leslie Zemeckis
Meg Hartig
Joshua Harto
Robert Harvey
Carol Harvey
Susan Harvey
Hatsunori Hasegawa
William Haze
Kôichi Hashimoto
Reika Hashimoto
Shinya Hashimoto
Savannah Haske
John Hasler
Ramli Hassan
Dimitra Hatoupi
Hattan
Cole Hauser
Wings Hauser
Ilavarasu
Sari Havas
Václav Havel
James Haven
Bob Havice
Allan Hawco
Coleman Hawkins
Roy Hay
Yasufumi Hayashi
Megumi Hayashibara
Tony Haygarth
David Hayman
Jayne Haynes
Roberta Haynes
Chris Haywood
Hotaru Hazuki
Eva Haßmann
Anthony Head
Mark Heap
Frances Hearn
David Heavener
Heavy D
Kevin Heffernan
Albert Cadabra
Peter Hein
Ilkka Heiskanen
Johan Heldenbergh
Sofia Helin
Thomas Hellberg
Frits Helmuth
Joachim Boje Helvang
Mahmoud Hemida
Jessie Mae Hemphill
Rebecka Hemse
Martin Henderson
Shirley Henderson
Stephen McKinley Henderson
Daniel Hendler
Monic Hendrickx
Andrés Henestrosa
Bryan Hennessey
Aksel Hennie
Sam Hennings
Marcel Hensema
John Hensley
Shuler Hensley
Nat Hentoff
Michael Herbig
Guillermo Heredia
Karoline Herfurth
Roberto Herlitzka
Irm Hermann
Jay Hernandez
Kristin Herold
János Herskó
James Hetfield
Rami Heuberger
Carolynne Hew
David Hewlett
Christopher Heyerdahl
Hamdy Heykal
Jay Hickman
Michele Hicks
Yasuhito Hida
John Michael Higgins
Freddie Highmore
Asuka Higuchi
Kanako Higuchi
Jhong Hilario
Kirsten Hill
Candice Hillebrand
Ellen Hillingsø
Monika Hilmerová
Lawrence Hilton-Jacobs
David Himes
Akiko Hinagata
Kirsty Hinchcliffe
Grainger Hines
Shôhei Hino
György Hintsch
Hiroaki Hirata
Mitsuru Hirata
Vrajesh Hirjee
Emile Hirsch
Masami Hisamoto
Ben Hiura
Mejla Hlavsa
Yann Hnautra
Josie Ho
Ka-Kui Ho
Peter Ho
Tony Ho
Chris Hobbs
Christopher Hobbs
Uri Hochman
Åke Hodell
Mike Hodges
Geir Vegar Hoel
Stig Henrik Hoff
Chris Hoffman
Jake Hoffman
Judith Hofmann
Martin Hofmann
Steve Hofmeyr
Gabriel Hogan
Nigel Hogge
Randall Holden
Kris Holden-Ried
Josh Holland
Heinz Holliger
Peter Holliger
Lars Hollmer
Kyle Holman
Kjersti Holmen
Peter Holst
Andy Holt
Vera Holtz
Joseph Holzknecht
Hirotarô Honda
Takako Honda
Martin Honsel
Jan Hooks
Bruce Hopkins
Budd Hopkins
Helen Hopkins
Hideyuki Hori
Ryô Horikawa
Silke
Anna Maria Horsford
Lili Horváth
Dominique Horwitz
Yôko Hoshi
Mari Hoshino
Tam Hoskyns
Catherine Hosmalin
Hassan Hosny
Takahito Hosoyamada
Yukijirô Hotaru
Tony Hoty
Serge Houde
Rosemary House
Danny Huston
Kara Houston
Marques Houston
Arliss Howard
Bryce Dallas Howard
Erica Howard
Garth Pillsbury
Ginger Howard
John Howard
Rance Howard
Tida Souratha
John Howe
Steve Howe
Worth Howe
Charles Howerton
Luis Fernando Hoyos
Siu-Lung Leung
Shu-shen Hsiao
Jenny Hu
Patrick Huard
Danielle Hubbard
Sébastien Huberdeau
Mark Huberman
Cady Huffman
Sean Hughes
Nils Hugon
Andy Chi-On Hui
Clarence Hui
Michael Hui
Shiu Hung Hui
Chenghui Yu
Michiel Huisman
Kees Hulst
Ali Humiston
Amy Humphrey
Meredyth Hunt
Bruce Hunter
Keith Birkfeld
Sam Huntington
György Hunyadkürthy
Makram Khoury
Saddam Hussein
Eleanor Hutchins
Derek Hutchinson
Fedja van Huêt
Jarmo Hyttinen
Tapio Hämäläinen
Jan Hårstad
Mavie Hörbiger
Solbjørg Højfeldt
Trond Høvik
Henry Hübchen
Nadja Hüpscher
I-F
Enzo Iacchetti
Fred Iacovo
Benny Ibarra
Mikako Ichikawa
Ahmad Idham
Rhys Ifans
Taka Guadalcanal
Daisuke Iijima
Chôsuke Ikariya
Hiroyuki Ikeuchi
Junko Ikeuchi
Mansaku Ikeuchi
Haruna Ikezawa
Viktor Ilichyov
Herwig Ilegems
Vladimir Ilin
Masayuki Imai
Adel Emam
David Imhoof
Michael Imperioli
Vanida Imran
In-chon Yu
Gorô Inagaki
Jonas Inde
Gary Indiana
Indraja
Diogo Infante
Toño Infante
Pierre Ingold
Michael Park Ingram
Innocent
John Innocenzo
Jun Inoue
Kazuhiko Inoue
Flavio Insinna
Pisek Intrakanchit
Inuko Inuyama
Eva Ionesco
Stefan Iordache
Kylie Ireland
Nicholas Irons
Mario Irrek
Dom Irrera
Bill Irwin
Hans Isaac
Katharine Isabelle
Sarah Rachel Isenberg
Yûsuke Iseya
Renji Ishibashi
Yuriko Ishida
Yoshizumi Ishihara
Mitsuko Ishii
Hitoshi Ishikawa
Kenjirô Ishimaru
Unshô Ishizuka
Azri Iskandar
Harith Iskander
Puneet Issar
Maia Morgenstern
Atsushi Itô
Ayumi Ito
Hideaki Itô
Kiyomi Itô
Misaki Itô
Takeshi Itô
Kentarô Itô
Kazu Itsuki
Ivan Ivanov
Tara Bast
Dana Ivgy
Moshe Ivgy
Guillermo Iván
Kôichi Iwaki
Ryô Iwamatsu
Hiromi Iwasaki
Mitsuo Iwata
María Izquierdo
Pinko Izumi
Kazuyuki Izutsu
Biagio Izzo
Hugh Jackman
George Jackos
Gildart Jackson
Kevin Jackson
Lauren A Jackson
Steve Jackson
Woody Jackson
Catherine Jacob
Gilles Jacob
Christopher Jacot
Tiara Jacquelina
Adele Jacques
Rogério Jacques
Yves Jacques
Behnaz Jafari
Jagadish
Jagathi Sreekumar
Jagdeep
Pairoj Jaisingha
T.D. Jakes
Sebastian Christoph Jacob
Farida Jalal
Tjader France
Kent Bradley James
Veronica James
Janardanan
Jang Dong-Gun
Hang-Seon Jang
Robert Janowski
Tove Jansson
Agnès Jaoui
Germán Jaramillo
Tom Jarmusch
Jay Oakerson
Tony Jay
Jay-Z
Veena Jayakody
Jayalalitha
Manoj K. Jayan
Jaya Prada
Jayaram
Jayasudha
Ilonah Jean
Wyclef Jean
Lucien Jean-Baptiste
Jearlyn Steele
Jeeva
Elfriede Jelinek
Guia Jelo
Sharvari Jamenis
Conrad Dunn
Rebecca Jenkins
Lucy Jenner
Alex Jennings
Tully Jensen
Erik Jensen
Henning Jensen
Julia Jentsch
Eun-pyo Jeong
Luz María Jerez
Norman Jewison
Nenad Jezdic
Kenneth Jezek
Preeti Jhangiani
Ayesha Jhulka
Philip Keung
Tong Jiang
Wen Jiang
Wenli Jiang
Huang Jiao
Charles Jimmie Sr.
Lucía Jiménez
María Jiménez
Hee-kyung Jin
Takanori Jinnai
Ivan M. Jirous
Jo Kuk
Guy Jodoin
Joginder Shelly
Jasper Johal
Jan Einar Johnsen
Paul Johansson
Pia Johansson
Scarlett Johansson
Gottfried John
Johnny Knoxville
Anthony Johnson
Brad Johnson
Brian Eric Johnson
Bryce Johnson
Clark Johnson
Dwayne Johnson
Eric Johnson
Jack Johnson
Jessica Johnson Tavenner
Kelley Johnson
Roland Johnson
Ryan Johnson
David Alexander Johnston
Dolly Johur
Kristoffer Joner
Angela Jones
Doug Jones
Eddie Jones
Franklin Dennis Jones
Freddie Jones
Gemma Jones
Hank Jones
Jason Jones
Norm Jones
Tom Jones
Jennifer de Jong
Clint Jordan
G. Anthony Joseph
Erland Josephson
Mohan Joshi
Vidyadhar Joshi
Paulo José
Thierry Jousse
Vlado Jovanovski
Mark Joy
Jack Jozefson
Ju Jin-Mo
Chuan Wang
Rainer Judd
Eric Judor
Gérard Jugnot
Jun Ji-hyun
Mi-seon Jeon
Jun Zhao
André Jung
Doo-hong Jung
Jun-ho Jeong
Julio Jung
Jung Suh
Jung Woo-sung
Jyothi
Jyotika
Julia Jäger
Lennart Jähkel
Jonna Järnefelt
Ann Eleonora Jørgensen
Bodil Jørgensen
Steen Birger Jørgensen
K.P.A.C. Lalitha
K.R. Vijaya
K.S. Ravikumar
Dimitris Kaberidis
Mahmoud Kabil
Olga Kabo
Nadia Kaci
Jane Kaczmarek
Kishore Kadam
Kader Khan
Kazue Tsunogae
Aliabbas Kadyrov
Teruyuki Kagawa
Jirô Kagoshima
Khalil Kain
Wolfgang Kainz
Oldrich Kaiser
Aki Kajiwara
Toshio Kakei
Makoto Kakeda
Galina Kalashnikova
Tomasz Kalczynski
Margaret Kaler
Oliver Kalkofe
Marina Kalogirou
Spyros Kalogirou
Charles Kaltenbacher
Pawan Kalyan
Abla Kamel
Antonie Kamerling
Liesbeth Kamerling
Erkin Kamilov
Akira Kamiya
Alexandra Kamp
Kamran
Hiro Kanagawa
Devadas Kanakala
Kanchan
Ilias Kanchan
Akio Kaneda
Takeshi Kaneshiro
Michael Kanevsky
Kar-Ying Law
Ramesh Khanna
Dimple Kapadia
Harley Kaplan
Anil Kapoor
Annu Kapoor
Bharat Kapoor
Goga Kapoor
Kavita Kapoor
Rajat Kapoor
Rajit Kapoor
Sanjay Kapoor
Kazimierz Karabasz
Yorgos Karamihos
Toshiaki Karasawa
Laurence Kardish
Róbert Kardos
Nilli Karim
Niki Karimi
Maya Karin
Tommy Karlsen
Gauri Karnik
Davida Karol
Aleksandr Karpov
Vincent Kartheiser
Mikhail Kozakov
Afrim Kasapolli
Shûji Kashiwabara
Carlos Kaspar
Erick Kastel
Valentina Kasyanova
Dimitris Katalifos
Reiko Kataoka
Deep Katdare
Branka Katic
Gô Katô
Haruko Katô
Masaya Katô
Shingo Katori
Masako Katsuki
Hiroshi Katsuno
Ai Katô
Lloyd Kaufman
Nicole Kaufmann
Satish Kaushik
Rick Kavanian
Kaveri
Kavitha
Maria Kavoyianni
Maiko Kawakami
Daijirô Kawaoka
Aouni Kawas
Billy Kay
Paul Kaye
Dick Kaysø
Elisabeth Kaza
Ken Kazama
Tôru Kazama
Natalya Kaznacheeva
Tim Kazurinsky
Thomas Kearney
Salim Kechiouche
Maged El-Kidwani
Will Keenan
Tom Kenny
Kirti Reddy
Björn Casapietra
Maria Kehayioglou
Janet Tracy Keijser
Claire Keim
Albinas Keleris
Atmen Kelif
Joseph Kell
Andrea Kelland
Marthe Keller
Ryan Kelley
Catherine Kellner
Karen Kelly
Walter Kennard
Dev Kennedy
Ted Kennedy
Tyhm Kennedy
Peter Kent
Stacey Kent
Hape Kerkeling
Richard Kern
Bill Kerr
John Kerry
Irvin Kershner
Sam Kessel
Irene Kessler
Kari Ketonen
Tullio Kezich
Aï Keïta
Konstantin Khabenskiy
Chulpan Khamatova
Juliano Mer-Khamis
A.J. Khan
Ali Khan
Arbaaz Khan
Asif Khan
Ayub Khan
Irrfan Khan
Mushtaq Khan
Razak Khan
Saif Ali Khan
Shaheen Khan
Shahid Khan
Shah Rukh Khan
Sohail Khan
Akshaye Khanna
Mukesh Khanna
Dmitriy Kharatyan
Bishnu Kharghoria
Sachin Khedekar
Gohar Kheirandish
Chooye Bay
Anupam Kher
Kirron Kher
Niku Kheradmand
Miloud Khetib
Boris Khimichev
Fyodor Khitruk
Vitaly Khodin
Philippe Khorsand
Viju Khote
Leleti Khumalo
Reza Kianian
Abbas Kiarostami
Sandrine Kiberlain
Gordan Kicic
Margot Kidder
Kristian Kiehling
David Kieran
Kôji Kikkawa
Nana Kiknadze
Rinko Kikuchi
Stephen Kilcullen
Patrick Kilpatrick
Kim Eui-sung
Ho-jung Kim
Kim Hye-su
Hyun-Jung Kim
Julienne Hanzelka Kim
Jeong-hwa Kim
Gyu-ri Kim
Min-Jung Kim
Gyu-ri Kim
Natalia Kim
Rae-won Kim
Randall Duk Kim
Tae Yeon Kim
Kim Tae-Woo
Yu-seok Kim
Junior Kimbrough
Poulad Kimiayi
Kaneta Kimotsuki
Tae Kimura
Takuya Kimura
Alan King
Alan King
Edward King
Moynan King
Perry King
Stephen James King
Dinesh Hingoo
Santeri Kinnunen
Hana Kino
Hôka Kinoshita
Güven Kiraç
Bill Kirchenbauer
Renton Kirk
Langley Kirkwood
Stan Kirsch
Gayle Kirschenbaum
Nadine Kirschon
Ittoku Kishibe
Gorô Kishitani
Ravi Kishan
Kazuki Kitamura
Iliana Kitanova
Tian Kitchen
Supakorn Kitsuwon
Jim Ramel Kjellgren
Björn Kjellman
Ljubinka Klaric
Burghart Klaußner
Catherine Klein
Jesper Klein
Johnny Klein
Lou Klein
Matt Klein
Kevin Kleinberg
Petra Kleinert
Valentin Klementyev
Arthur Klemt
Aaron Kleven
Bart Klever
Anja Kling
Dawn Klingberg
Romuald Andrzej Klos
Roman Klosowski
Brian Klugman
Herbert Knaup
Dane Knell
Keira Knightley
Roman Knizka
Don Knodel
Robert Knott
Sidse Babett Knudsen
Blackie Shou-Liang Ko
Ai Kobayashi
Kaori Kobayashi
Kaoru Kobayashi
Nenji Kobayashi
Jeff Kober
Victoria Koblenko
Sebastian Koch
Suzanne Kockat
Uwe Kockisch
Hülya Koçyigit
Matthias Koeberlin
Maria Köstlinger
Petra Morzé
Fumiyo Kohinata
Manisha Koirala
Kyôko Koizumi
Vincent Kok
Yannis Kokiasmenos
Kevin Kolack
Violetta Kolakowska
Esref Kolçak
Claudia Koll
Yuri Kolokolnikov
Róbert Koltai
Diouc Koma
Masao Komatsu
Miyuki Komatsu
Rena Komine
Karin Komljanec
Yoshimasa Kondô
Maksim Konovalov
Tania Kontoyanni
Pavlos Kontoyannidis
Josephine Koo
Louis Koo
DJ Kool
Isha Koppikar
Oliver Korittke
Josh Kornbluth
Natasha Korolyova
Hilda Koronel
Anke Kortemeier
Dina Korzun
Baran Kosari
Kôichi Koshimura
Valentina Kosobutskaya
Vuk Kostic
Tamara Kosubayeva
Jûrôta Kosugi
Eric Kot
Yûko Kotegawa
Maka Kotto
Adam Kotz
Sid Ali Kouiret
Natacha Koutchoumov
Sotigui Kouyaté
Lajos Kovács
Ingrid Kowarik
Mami Koyama
Koyuki
Dennis J. Kozeluh
Winai Kraibutr
Ben Kramer
Rony Kramer
Steve Kramer
Fran Kranz
Karl Kranzkowski
Tommy Krappweis
Andrey Krasko
Ivan Krasko
Mark Krasnoff
Peter Krause
Jana Krausová
Michael Krabbe
Kira Kreylis-Petrova
Jan-Gregor Kremp
Thomas Kretschmann
Cleo Kretschmer
Michket Krifa
Ramya Krishnan
Kristoff Raczynski
Ronny Kristoffersen
Joe Krowka
Mark Antony Krupa
Michelle Krusiec
Pavel Kríz
Joachim Król
Gerhard Kubelka
Marta Kubisová
Akira Kubo
Sheila James Kuehl
Tuuli Kuittinen
Vyacheslav Kulakov
Ruth Kulerman
Agata Kulesza
Oleg Kulikovich
János Kulka
Atul Kulkarni
Neena Kulkarni
Maria Kulle
Hideo Kumagai
Akshay Kumar
Inder Kumar
Kiran Kumar
Vineeth Kumar
Vineet Kumar
Jun Kunimura
Makiko Kuno
Ahti Kuoppala
Kirsti Kuosmanen
Masahiro Kuranuki
Hanif Kureishi
Chiaki Kuriyama
Asahi Kurizuka
Yûki Kuroda
Mei Kurokawa
Asuka Kurosawa
Kiyoshi Kurosawa
Kurupt
Barbara Kurzaj
Tsuyoshi Kusanagi
Kôta Kusano
Avi Kushnir
Fikret Kuskan
Stanley Kutler
Gosha Kutsenko
Houko Kuwashima
Yuriy Kuznetsov
Mimi Kuzyk
Kanchit Kwanpracha
Ryan Kwanten
Aaron Kwok
Dokhdurbek Kydyraliyev
Sissela Kyle
Ana María Kámper
Juliane Köhler
Basak Köklükaya
Luk Piyes
Aline Küppenheim
L.B. Sriram
Jake La Botz
Bruce La Bruce
Diana DeLaCruz
David La Haye
Chi Chi LaRue
Ana La Salvia
Laurent Labasse
Patrick Labbé
Brian LaBelle
Lotfy Labib
Pedro Lacerda
Thiago Lacerda
Andrée Lachapelle
Anabelle Lachatte
Catherine Lachens
Jordan Ladd
Gabriele Lafari
Krystjo Lafazanov
Pat Laffan
Art LaFleur
Alicia Lagano
Shreeram Lagoo
Reema Lagoo
Leon Lai
Laila
Stuart Laing
Mónica Lairana
Lakshmi
Lal
Mohanlal
Lalaine
Eulàlia Ramon
Spencer Lam
Suet Lam
Tony Lam
The Dalai Lama
Barry Bonds
Mark Lamarr
Phil LaMarr
Jenna Lamia
Frank Lammers
Jean-Marie Lamour
Louise Lamson
Lan Wang
Jorge Lanata
Micheline Lanctôt
Phil Lander
Michael Landes
Manuel Landeta
Jen Landon
Eric Landrein
Chris Landreth
Allison Lange
William Langlois
Jirí Langmajer
Virginie Lanoué
Vasiliy Lanovoy
David Lansbury
Gérard Lanvin
Delphine Lanza
São José Lapa
Michel Laperrière
Hélène Lapiower
Víctor Laplace
Jean Lapointe
Alexandra Maria Lara
David Larcher
Ryan Larkin
Gérald Laroche
Michèle Laroque
Robert LaSardo
Sarah Lassez
Helen Latham
Andy Lau
Carina Lau
Ching Wan Lau
Laurence Lau
Pauline Lau
Shek-Yin Lau
Tats Lau
Ashley Laurence
Ben Laurance
Henry Laurence
Mélanie Laurent
Lucie Laurier
Christian Laursen
Ed Lauter
Lena Lauzemis
Dominique Lavanant
Denis Lavant
Larry Laverty
Bryan Law
John Phillip Law
Koon-Lan Law
Phyllida Law
Wai-Guen Law
Christopher Lawford
Ningali Lawford
Todd Lawhorne
Carolyn Lawrence
Glen Lawrence
Michael Lawrenchuk
Bianca Lawson
Laya
David Layton
Dorina Lazar
Rad Lazar
Aleksandr Lazarev
Viktor Lazarev
Viktor Lazlo
Lakis Lazopoulos
Gabrielle Lazure
Isild Le Besco
Maïwenn
Samuel Le Bihan
Bernard Le Coq
Horacio Le Don
Philippe Le Mercier
Walter Learning
Carmen Lebbos
Pierre Lebeau
Tatyana Lebedkova
Isabelle Leblanc
Lebleba
Laurence Leboeuf
Fran Lebowitz
Julie LeBreton
Françoise Lebrun
Jean-Claude Lecas
Geno Lechner
Alan Lee
Amanda Lee
Angelica Lee
Annie Lee
Lee Byung-hun
Cash Lee
CoCo Lee
Dana Lee
Eun-ju Lee
Eung-Kyung Lee
In Lee
Jae-un Lee
Lee Jung-jae
Mark Lee
Sam Lee
Rae Sunshine Lee
Timothy Lee
Zach Lee
Barry Lee-Thomas
Paul de Leeuw
Tristin Leffler
Catherine Lefroid
Brando Legaspi
Claude Legault
Beata Lehmann
Klaus Lehmann
Lilia Lehner
Norman Lehnert
Ronnie Leitch
Pierre Lekeux
Jean Leloup
Kris Lemche
Alexandra Lencastre
Renato Jencek
Tom Lenk
Harry Lennix
Caro Lenssen
Edoardo Leo
Joshua Leonard
Mike Leonardo
Sandra S. Leonhard
Gaston Lepage
Guy A. Lepage
Georgia Lepore
Mélanie Leray
Michael Lerner
Jalil Lespert
Mike Lesser
Aksel Leth
Roland Lethem
Xavier Letourneur
Matt Letscher
Tony Chiu-Wai Leung
Tony Ka Fai Leung
Gigi Leung
Jade Leung
Ken Leung
Alex Man
Pun-Hei Leung
Sammuel Leung
Johny Lever
Luca Levi
Thomas Levin
Ron Levine
Alexandre Levit
Andrew Levitas
Assi Levy
Barry W. Levy
Dani Levy
Darío Levy
Eugene Levy
James Lew
Malgorzata Lewinska
Al Lewis
Damian Lewis
Gary Lewis
Jenifer Lewis
Sascha Ley
Tom Leykis
Juan Leyrado
Pío Leyva
Thierry Lhermitte
Bingbing Li
Fung Lee
Haibin Li
Xuejian Li
Frank Licari
Leander Lichti
Nikolaj Lie Kaas
Igor Lifanov
Sebastian Ligarde
Georgina Lightning
Nicke Lignell
Shad Moss
Celeste Lim
Chang Jung Lim
Kay Siu Lim
Kay Tong Lim
Marina Lima
Tony Lima
Meng-chin 'Adriene' Lin
Andrew Lin
Jimmy Lin
Ruby Lin
Sandra Kwan Yue Ng
Pi Lind
Marianne Lindberg De Geer
Elvira Lindo
Jimena Lindo
Vincent Lindon
Martin Lindow
Kasper Lindström
Vitaliy Linetskiy
Josep Linuesa
Luca Lionello
Bob Lipka
Enrique Liporace
David Lipper
Soia Lira
Paavo Liski
Luciana Littizzetto
Renata Litvinova
Chia-Hui Liu
Guancheng Liu
Rene Liu
Xiaoqing Liu
Liubov Liubcheva
Ron Livingston
Hugh Lloyd
Vincent Riotta
Luigi Lo Cascio
Ken Loach
Anne Lockhart
Thomas Lockyer
Rifka Lodeizen
Lindsay Lohan
Peter Lohmeyer
Vesa-Matti Loiri
Alan Lomax
Karina Lombard
Louise Lombard
Chris Lomme
Ulli Lommel
Jan Lomnicki
John Lone
Adam Long
Justin Long
Irene Longshore
Frank Lopardo
Giulio Lopes
Sal Lopez
Luisana Lopilato
John Lordan
Alexis Loret
George Loros
Jason Loughridge
Fatima Loukili
Manuel Lourenzo
Norman Lovett
Mpho Lovinga
Oscar Lowe
Carolyn Lowery
Mariana Loyola
Karyme Lozano
Josh Lucas
Laurent Lucas
Angela Luce
Lucero
Fabrice Luchini
Didier Lucien
Jackie Chung-yin Lui
Fernando Luján
Florian Lukas
Lisa Jane Lukies
Joanna Lumley
Diego Luna
Regina Lund
Dick Wei
Cherie Lunghi
Daniela Amavia
Giorgio Lupano
Robert LuPone
Federico Luppi
Natasa Lusetic
Jacqueline Lustig
Karolina Lutczyn
Adriano Luz
Fernando Luís
Henrik Lykkegaard
Will Lyman
Tiina Lymi
Jane Lynch
Peter Lynch
Tamara Lynch
Simon Lyndon
Elena Lyons
Jennifer Lyons
Zsolt László
Jean-Pierre Léaud
Pascal Légitimus
Maria Isabel Lopez
Jorge López
José María López
Luchi López
Mónica López
Sergi López
Verónica López
Victor Löw
Manuel Löwensberg
Elina Löwensohn
Walo Lüönd
Raymond Ma
Gurdas Maan
Yee-Man Man
Luke Mably
Catriona MacColl
Ray MacDonald
Scott MacDonald
Shauna Macdonald
William MacDonald
Matthew Macfadyen
Willow Hale
Shion Machida
Robert Machray
Gabriel Macht
Jirí Machácek
Sylwester Maciejewski
Carla Maciel
Don MacKay
Andy Mackenzie
Doon Mackichan
Rafal Mackowiak
Tracey MacLeod
Ángeles Macua
Jamel Madani
Aodhan Madden
Madhavan
Kavya Madhavan
Robert Madrid
Mía Maestro
Edisher Magalashvili
José Magaña
Jolina Magdangal
Benoît Magimel
Licia Maglietta
Cécile Magnet
Kate Magowan
J. Mahendran
Hossein Mahjoub
Julie Maillot
David Máj
Maija-Liisa Majanlahti
Mohamed Majd
Markus Majowski
Teresa Mak
Aleksey Makarov
Avtandil Makharadze
Riho Makise
Károly Makk
Herbert Mako
Sergey Makovetskiy
Horatiu Malaele
Zygmunt Malanowicz
Max Malatesta
Romany Malco
Christopher Maleki
Pawan Malhotra
Sunil Malhotra
Antara Mali
Judith Malina
Jessica Malka
Cylia Malki
Víctor Mallarino
Nathalie Mallette
Mallikharjunarao
Laura Malmivaara
Jena Malone
Ivonni Maltezou
Sérgio Mamberti
Mammukoya
Beenie Man
Eman Manan
Marko Mandic
Costas Mandylor
Iro Mane
Kalabhavan Mani
Manivannan
Rizwan Manji
Mahesh Manjrekar
Ravindra Mankani
Sonia Mankaï
Gabriel Mann
Jasbir Mann
Sarah Manninen
Taryn Manning
Predrag 'Miki' Manojlovic
Roland Manookian
Manuel Manquiña
Charles Manson
Grigori Manoukov
Matthias Manz
Dagmar Manzel
William Mapother
Charles Maquignon
Mary Mara
Manning Marable
Diego Maradona
Jeff Marchelletta
André Marcon
Neri Marcorè
Dave Marcis
Ivano Marescotti
Juan Margallo
Celine Ordioni
Robert Margolis
Nick Hardin
Jean-Pierre Marielle
Valeria Marini
Morgan Marinne
Goran Marjanovic
Petros Markaris
Ronald Markham
Olivera Markovic
Tor Egil Markusen
Akaji Maro
Zan Marolt
Josip Marotti
Erika Marozsán
Sean Marquette
David Marr
Jorge Marrale
Craig Marriott
Ali Marsh
Mike Marshall
Shannon Marshall
Judy Marte
Ángel Sancho
Peter Martell
François Marthouret
Jean-Michel Martial
Duane Martin
Gary Martin
Rudolf Martin
Svante Martin
Adrian Martinez
Albert Martinez
Geraldo Martinez
Jackie Martling
Eloísa Martín
Raúl Martín
Roberto Sosa
José A. Martínez Suárez
Fele Martínez
Mariano Martínez
María José Martínez
Mausi Martínez
Pancho Martínez
Meghan Marx
Vera Maryanchik
Duilio Marzio
Marian Marzynski
Claudia Marín
Masahiro Matsuoka
Salman Masalaha
Tumisho Masha
Jamshid Mashayekhi
Vladimir Mashkov
Marina Massironi
Parvaneh Massoumi
Valerio Mastandrea
Lou Mastantuono
Raju Shrestha
Fay Masterson
Amy Mastura
Tôru Masuoka
Julio Matas
Rosa María Mateo
Marie Matheron
Katrina Mathers
Suleka Mathew
Natasa Matjasec
Marlee Matlin
Jacob Matschenz
Percy Matsemela
Dimitra Matsouka
Takako Matsu
Chieko Matsubara
Kenji Matsuda
Ryûhei Matsuda
Suzuki Matsuo
Shunsuke Matsuoka
Yutaka Matsushige
Keiko Matsuzaka
Norman Matt
Ulrich Matthes
Dihlon McManne
Maurizio Mattioli
Vili Matula
Waldemar Matuska
David Matásek
Carmen Maura
Juergen Maurer
Cristina Maxwell
Jodhi May
Michaela May
Mariann Mayberry
Dirk Mayer
Sergio Mayer
Victoria Mayer
Maya Maron
Sofía Mazagatos
Patricia Mazuy
Marcello Mazzarella
Michael Mazzeo
Francesco Mazzini
Aïssa Maïga
Scarlett McAlister
Alex McArthur
James McAvoy
Chi McBride
Elias McCabe
Cinda McCain
Francis X. McCarthy
Sheila McCarthy
Catherine McClements
Heather Simpson
Brian McConnachie
Michael McConnohie
Patty McCormack
David McDaniel
Audra McDonald
Dominic McDonald
Steven McElroy
Sean McGinley
James McGowan
Tom McGowan
Pat McGrath
Erin McGrew
Joey McIntyre
Marilyn McIntyre
Mikki Meraki
Alan McKenna
Jacqueline McKenzie
Kevin McKidd
Michael McMillian
Aaron McNally
Kevin McNally
Ian McNeice
Marguerite McNeil
Marnie McPhail
Peter McRobbie
Jared McVay
Russell Means
Zane Meas
Elton Medeiros
Leonardo Medeiros
Allan Medina
Pen Medina
Miguel Medina
Michelle Yim
Michie Mee
Edith Meeks
Meena
Meera
Yûki Meguro
Bernhard Mehl
Mitsuru Meike
Ricardo Mejía
Eddie Mekka
Michele Melega
Bernabé Melendrez
Antonio Meliande
Gilbert Melki
Danton Mello
Luís Melo
Francisco Melo
Nuno Melo
Mark Mench
Frank-Thomas Mende
Horst Mendroch
Xuxa
Ramiro Meneses
John Mengatti
Laura Mennell
Biju Menon
Valsala Menon
Vladimir Menshov
Idina Menzel
Robert Menzies
Kad Merad
María Mercedes
Ken Merckx
Ricardo Merkin
Marilou Mermans
James B. Merryman
Hichem Mesbah
Marco Messeri
William Welch
Roberto Messini D'Agostino
Johnny Messner
Metallica
Sombat Metanee
Mireille Metellus
Barnaby Metschurat
Hugo Metsers
Jason Mewes
Bruce Myers
Gérard Meylan
Giovanna Mezzogiorno
Sophie Mgcina
Robert Miano
Fernando Miaznik
George Michael
Jasi Cotton Lanier
Joel Michaely
Françoise Michaud
